番号,ゲーム名,課題,旧S(12),新s(28),エントリ段,判定年齢,判定根拠,世界水準🌐
H001,おりがみのかさなりじゅん,10 形図形,S7,s15〜s16,s15,3歳6〜11か月,重なり下層・4択/空間,🌐
H002,先生からみたら,10 形図形,S9,s19〜s20,s19,4歳6〜11か月,視点移動/メンタル回転,🌐
H003,いらないカードはどれ,09 基礎概念,S7,s15〜s16,s15,3歳6〜11か月,不要札さがし/比較5札,🌐
H004,あかあおきいろのめいろ,09 基礎概念,S6,s13〜s14,s13,3歳0〜5か月,色順めいろ・8歩,🌐
H005,かくれたくだもの,09 基礎概念,S5,s11〜s12,s11,2歳6〜11か月,AB模様2択・易,🌐
H006,きしゃのいろシール,09 基礎概念,S5,s11〜s12,s11,2歳6〜11か月,ABAB模様うめ2択,🌐
H007,4こまのおはなし_ケーキ,03 絵本暗唱,S7,s15〜s16,s15,3歳6〜11か月,4コマ物語の順序,
H008,4こまのおはなし_りんご,03 絵本暗唱,S7,s15〜s16,s15,3歳6〜11か月,4コマ物語の順序,
H009,4こまのおはなし_ひまわり,03 絵本暗唱,S7,s15〜s16,s15,3歳6〜11か月,4コマ物語の順序,
H010,かえるはどのはっぱ,12 探索,S6,s13〜s14,s13,3歳0〜5か月,聞いて探す/口頭,
H011,しりとりでんしゃ,18 文字,S8,s17〜s18,s17,4歳0〜5か月,しりとり3択/音,🌐
H012,あいているところはどれ,09 基礎概念,S6,s13〜s14,s13,3歳0〜5か月,AB欠落3択,🌐
H013,おなじえをみつけよう,20 直観像,S7,s15〜s16,s15,3歳6〜11か月,細部一致4択,
H014,おなじかおはどれ,14 SST,S7,s15〜s16,s15,3歳6〜11か月,同じ気持ちの顔,
H015,まるさんかくしかくさがし,10 形図形,S7,s15〜s16,s15,3歳6〜11か月,形さがし9中6・傾き有,🌐
H016,4こまのおはなし_かなづちとすべりだい,03 絵本暗唱,S7,s15〜s16,s15,3歳6〜11か月,4コマ物語の順序,
H017,くるりとまわすと,10 形図形,S8,s17〜s18,s17,4歳0〜5か月,裏返し回転3択,🌐
H018,てんをつないでおうち,10 形図形,S6,s13〜s14,s13,3歳0〜5か月,点つなぎ家・易,🌐
H019,てんとうむしはどこ,12 探索,S6,s13〜s14,s13,3歳0〜5か月,聞いて位置タップ,
H020,ヒントでさがそう,09 基礎概念,S9,s19〜s20,s19,4歳6〜11か月,3条件で特定/推論,🌐
H021,まえからなんばんめ,17 数,S8,s17〜s18,s17,4歳0〜5か月,前から何番目/序数,🌐
H022,まんなかのおはなし,09 基礎概念,S7,s15〜s16,s15,3歳6〜11か月,3番目を選ぶ/系列,🌐
H023,ゴーカートのどうぶつ,12 探索,S6,s13〜s14,s13,3歳0〜5か月,聞いて探す/口頭,
H024,かたつむりはどのはっぱ,12 探索,S7,s15〜s16,s15,3歳6〜11か月,行列位置/聞く,
H025,てんをつないでかたち,10 形図形,S7,s15〜s16,s15,3歳6〜11か月,点つなぎ菱形4線,🌐
H026,かさねるとどうみえる,10 形図形,S8,s17〜s18,s17,4歳0〜5か月,重ね見え/空間,🌐
H027,はんぶんこのえ,10 形図形,S8,s17〜s18,s17,4歳0〜5か月,線対称・右半分かく,🌐
H028,どうぶつアパート,12 探索,S7,s15〜s16,s15,3歳6〜11か月,アパート位置/聞く,
H029,てんずけいをうつそう,10 形図形,S8,s17〜s18,s17,4歳0〜5か月,点図形写し・交差注意,🌐
H030,きるとどのかたち,10 形図形,S8,s17〜s18,s17,4歳0〜5か月,断面/きると,🌐
H031,いろとかたちのひょう,09 基礎概念,S8,s17〜s18,s17,4歳0〜5か月,3x3色×形マトリクス,🌐
H032,きるとどのかたち2,10 形図形,S8,s17〜s18,s17,4歳0〜5か月,断面/きると,🌐
H033,かさねるとどうみえる2,10 形図形,S8,s17〜s18,s17,4歳0〜5か月,重ね見え2,🌐
H034,おかしはどこかな,12 探索,S8,s17〜s18,s17,4歳0〜5か月,変形方眼の同位置,
H035,かずのめいろ,17 数,S8,s17〜s18,s17,4歳0〜5か月,数めいろ1→10,🌐
H036,はんぶんこにかこう,10 形図形,S8,s17〜s18,s17,4歳0〜5か月,鏡うつしマス,🌐
H037,カードをまわすと,10 形図形,S9,s19〜s20,s19,4歳6〜11か月,カード回転3択,🌐
H038,カードをまわすと2,10 形図形,S9,s19〜s20,s19,4歳6〜11か月,半回転カード,🌐
H039,かさねるとどうみえる3,10 形図形,S8,s17〜s18,s17,4歳0〜5か月,重ね見え3,🌐
H040,てんつなぎはんぶんこ,10 形図形,S8,s17〜s18,s17,4歳0〜5か月,線対称もみの木,🌐
H041,かぞえてみよう,17 数,S7,s15〜s16,s15,3歳6〜11か月,妨害中の計数9,🌐
H042,まわるテーブル,10 形図形,S9,s19〜s20,s19,4歳6〜11か月,回転テーブル4択,🌐
H043,かけっこなんばん,09 基礎概念,S9,s19〜s20,s19,4歳6〜11か月,推移律1位/推論,🌐
H044,いぬとねこをさがせ,12 探索,S7,s15〜s16,s15,3歳6〜11か月,模様で視覚探索8中4,
H045,ぱたんとたおすと,10 形図形,S9,s19〜s20,s19,4歳6〜11か月,倒すと回転3択,🌐
H046,つかわないかたちは,10 形図形,S9,s19〜s20,s19,4歳6〜11か月,3片で家・不要片推論,🌐
H047,ゴーカートのどうぶつ2,12 探索,S7,s15〜s16,s15,3歳6〜11か月,聞いて探す3歩・難,
H048,あいているところになにがくる,09 基礎概念,S6,s13〜s14,s13,3歳0〜5か月,○×模様うめ,🌐
H049,4ばんめのかたちは,09 基礎概念,S9,s19〜s20,s19,4歳6〜11か月,規則発見4番目,🌐
H050,せいくらべすいり,09 基礎概念,S9,s19〜s20,s19,4歳6〜11か月,背比べ推移律,🌐
H051,きるとどのかたち3,10 形図形,S9,s19〜s20,s19,4歳6〜11か月,断面+回転,🌐
H052,どのなかまがはいる,09 基礎概念,S9,s19〜s20,s19,4歳6〜11か月,2x2二重分類,🌐
H053,きるとどのかたち4,10 形図形,S9,s19〜s20,s19,4歳6〜11か月,断面3片2線,🌐
H054,かさねるとどうみえる4,10 形図形,S9,s19〜s20,s19,4歳6〜11か月,重ね見え複雑,🌐
H055,いろのまじわるマス,09 基礎概念,S7,s15〜s16,s15,3歳6〜11か月,行×列の交点,🌐
H056,たりないところはどこ,09 基礎概念,S6,s13〜s14,s13,3歳0〜5か月,欠け部分補完,🌐
H057,じゅうにしのじゅんばん,09 基礎概念,S8,s17〜s18,s17,4歳0〜5か月,十二支の順序4,🌐
H058,なかまをつなごう,09 基礎概念,S7,s15〜s16,s15,3歳6〜11か月,育つと何/対応6,🌐
H059,なんといってかぞえる,17 数,S9,s19〜s20,s19,4歳6〜11か月,助数詞/数え方,🌐
H060,ますけいさん,17 数,S11,s23〜s24,s23,5歳6〜11か月,たし算・答え6/表,🌐
H061,クロスワード,18 文字,S10,s21〜s22,s21,5歳0〜5か月,クロスワード文字,🌐
H062,あわせて10,17 数,S10,s21〜s22,s21,5歳0〜5か月,あわせて10ペア,🌐
H063,かげはどれとどれ,10 形図形,S9,s19〜s20,s19,4歳6〜11か月,重なり影2つ特定,🌐
H064,まちがいさがし,20 直観像,S7,s15〜s16,s15,3歳6〜11か月,間違い探し4箇所,
