,,,,,,,,,,,,,,
,バーコード文字列,シーン名,サムネイル,年齢,カテゴリ,説明,不具合,,備考,リリース,アルファ版,a,分類,月
,13,L00039,,0〜2,記憶(Memory),"最初に動物の配置を覚え、
動物を覚えた場所に置く",,,,A,,未対応,,
,14,L00041,,0〜2,記憶(Memory),"最初に動物の配置を覚え、
動物を覚えた場所に置く",,,,A,,未対応,,
,35,L10082,,3〜4,記憶(Memory),"ペルくんの宝箱をよく見て
何が入っていたか
ペルくんが持っているものを選ぶ",,,,A,,未対応,,
,59,L20107,,5〜6,記憶(Memory),"誰が何の楽器を持っているかを
記憶して、記憶した楽器を
動物と合わせる","・覚える時間中に問題解答が出来る
デジタルコペルでも同じです",,問題なし,A,,未対応,,
,65,L00025,,0〜2,記憶(Memory),"指示通りの並びでロケットに
キャラクターを乗せる",,,,B,,未対応,,
,79,L10086,,3〜4,記憶(Memory),"お母さんの話を聞いて
ペルくんに正しいクッキーをあげる
話：丸2枚、ハート2枚",,,,B,,未対応,,
,94,L00027,,0〜2,記憶(Memory),"指示通りの並びで車に
キャラクターを乗せる",,,しこう,C,,未対応,,
,120,L20084,,5〜6,記憶(Memory),"最初に文章を読み聞きし、後で
文章に沿った問題に答える",,,ことば,C,,未対応,,
,135,L00097,,0〜2,記憶(Memory),矢印から線を引いて輪郭を書く,,,,D,,対応済み,しこう,11
,148,L10077,,3〜4,記憶(Memory),"ペルくんの宝箱をよく見て
何が入っていたか
ペルくんが持っているものを選ぶ",,,,D,,対応済み,しこう,11
,154,L20010,,5〜6,記憶(Memory),"最初に文章を読み聞きし、後で
文章に沿った問題に答える",,,,D,,対応済み,ことば,9
,161,L20076,,5〜6,記憶(Memory),"冷蔵庫の中を覚え
後で、果物を正しいところに置く",,,,D,,対応済み,しこう,10
,162,L20081,,5〜6,記憶(Memory),"引き出しの中に片づけたものを覚え
後で、片づけたものを当てる",,,,D,,対応済み,しこう,10
,179,L00040,,0〜2,記憶(Memory),"最初に動物の配置を覚え、
動物を覚えた場所に置く",,,,,,未対応,,
,180,L00043,,0〜2,記憶(Memory),花のパーツを適切な位置に置く,,,,,,未対応,,
,199,L00095,,0〜2,記憶(Memory),矢印から線を引いて輪郭を書く,,,,,,未対応,,
,221,L00124,,0〜2,記憶(Memory),蜂が飛ぶ軌道をなぞる,,,,,,未対応,,
,222,L00125,,0〜2,記憶(Memory),どんぐりが転がる軌道をなぞる,,,,,,未対応,,
,270,L10078,,3〜4,記憶(Memory),"ペルくんの宝箱をよく見て
何が入っていたか
ペルくんが持っているものを選ぶ

不具合
二問目の見るタイミングで
ボタンを押せてしまう",〇,,,,,未対応,,
,274,L10087,,3〜4,記憶(Memory),"お母さんの話を聞いて
ペルくんに正しいクッキーをあげる
話：ハート1枚、星2枚",,,,,,未対応,,
,301,L20031,,5〜6,記憶(Memory),"最初に文章を読み聞きし、後で
文章に沿った問題に答える

L20086と同じ内容
設問2「ボートに乗らなかった動物」
の答えがリス",,,,,,未対応,,
,320,L20077,,5〜6,記憶(Memory),"引き出しの中に片づけたものを覚え
後で、片づけたものを当てる",,,,,,未対応,,
,324,L20085,,5〜6,記憶(Memory),"最初に文章を読み聞きし、後で
文章に沿った問題に答える",,,,,,未対応,,
,325,L20086,,5〜6,記憶(Memory),"最初に文章を読み聞きし、後で
文章に沿った問題に答える

L20031と同じ内容
設問2「ボートに乗らなかった動物」
の答えがネコ",,,,,,未対応,,
,345,L00096,,0〜2,記憶(Memory),矢印から線を引いて輪郭を書く,,,,その他,,未対応,,
,10,L00031,,0〜2,共有知識(CommonKnowledge),家に合う動物を選ぶ,,,,A,○,未対応,,
,26,L10033,,3〜4,共有知識(CommonKnowledge),お話の順番に並べる,,,,A,○,未対応,,
,28,L10042,,3〜4,共有知識(CommonKnowledge),お金を数え、全部でいくらか選ぶ,,,,A,,未対応,,
,31,L10065,,3〜4,共有知識(CommonKnowledge),"動物たちの好きな食べ物は
どれかを当てる","・終了エフェクト後待機時間
　3秒になっている（他は1秒）",,,A,,未対応,,
,39,L10144,,3〜4,共有知識(CommonKnowledge),川を通って迷路を抜ける,"・隣接している川同士を通れる
（例えば、一寸法師から亀までの間）
　デジタルコペルでも同じなので
　仕様かもしれません",,,A,,未対応,,
,48,L20047,,5〜6,共有知識(CommonKnowledge),"色々なものをペルくんの
箱に入れると変身して出てくる
どんな約束で変わるか予想して
箱の中から出てくるものを選ぶ",・最初のアニメーションが起動しない,,,A,,未対応,,
,56,L20074,,5〜6,共有知識(CommonKnowledge),"果物はどちらの方向から
切ったものか選ぶ","・上下のアニメーション
　果物が完全に画面外に行く前に
　アニメーションのループが起きる",,,A,,未対応,,
,60,L20112,,5〜6,共有知識(CommonKnowledge),"左の枠内の人がお仕事で使うものを
右から2つずつ見つける",,,,A,○,未対応,,
,66,L00035,,0〜2,共有知識(CommonKnowledge),"シャツ→スカート→靴下→帽子の
順に衣服を着せていく",,,,B,,未対応,,
,70,L00073,,0〜2,共有知識(CommonKnowledge),物が大きいか小さいかを選ぶ,,,,B,,未対応,,
,71,L00076,,0〜2,共有知識(CommonKnowledge),物が大きいか小さいかを選ぶ,,,,B,,未対応,,
,73,L10009,,3〜4,共有知識(CommonKnowledge),どの店に合うかを選んで並べる,,,,B,,未対応,,
,75,L10035,,3〜4,共有知識(CommonKnowledge),お話の順番に並べる,,,,B,,未対応,,
,93,L00015,,0〜2,共有知識(CommonKnowledge),食べ物を選んでぺるくんの前に運ぶ,,,しこう,C,,未対応,,
,96,L00037,,0〜2,共有知識(CommonKnowledge),顔のパーツを選んで顔を作る,,,しこう,C,,未対応,,
,98,L00055,,0〜2,共有知識(CommonKnowledge),指定された硬貨を選ぶ,,,かず,C,,未対応,,
,100,L00061,,0〜2,共有知識(CommonKnowledge),左の絵を組み合わせて右の物を作る,,,ことば,C,,未対応,,
,101,L00081,,0〜2,共有知識(CommonKnowledge),おばけに合わないように迷路を進む,,,しこう,C,,未対応,,
,114,L20063,,5〜6,共有知識(CommonKnowledge),"色々なものをペルくんの
箱に入れると変身して出てくる
どんな約束で変わるか予想して
箱の中から出てくるものを選ぶ",,,しこう,C,,未対応,,
,118,L20075,,5〜6,共有知識(CommonKnowledge),"野菜はどちらの方向から
切ったものか選ぶ",,,しこう,C,,未対応,,
,131,L00075,,0〜2,共有知識(CommonKnowledge),指示通りにキャラクターを進ませる,,,,D,,対応済み,しこう,10
,132,L00077,,0〜2,共有知識(CommonKnowledge),指定されたものを選ぶ,,,,D,,対応済み,しこう,10
,146,L10070,,3〜4,共有知識(CommonKnowledge),何のお花が咲くか正しいお花を選ぶ,,,,D,,対応済み,しこう,10
,149,L10084,,3〜4,共有知識(CommonKnowledge),"じゃんけんをしたとき
誰が勝ったかを当てる",,,,D,,対応済み,しこう,11
,151,L10093,,3〜4,共有知識(CommonKnowledge),"猫のいる部屋だけを通って
迷路を抜ける",,,,D,,対応済み,しこう,11
,166,L20099,,5〜6,共有知識(CommonKnowledge),正しい時刻を表している時計を探す,,,,D,,対応済み,かず,10
,172,L00010,,0〜2,共有知識(CommonKnowledge),各商品を合うお店を選ぶ,,,,,,未対応,,
,176,L00030,,0〜2,共有知識(CommonKnowledge),家に合う動物を選ぶ,,,,,,未対応,,
,177,L00034,,0〜2,共有知識(CommonKnowledge),"シャツ→ズボン→靴下→帽子の順に
衣服を着せていく",,,,,,未対応,,
,178,L00036,,0〜2,共有知識(CommonKnowledge),顔のパーツを選んで顔を作る,,,,,,未対応,,
,185,L00062,,0〜2,共有知識(CommonKnowledge),"行事にちなんだ絵をかげに合わせて
置く",,,,,,未対応,,
,190,L00074,,0〜2,共有知識(CommonKnowledge),前向きか後ろ向きかを選ぶ,,,,,,未対応,,
,191,L00078,,0〜2,共有知識(CommonKnowledge),指定されたものを選ぶ,,,,,,未対応,,
,192,L00079,,0〜2,共有知識(CommonKnowledge),指定されたものを選ぶ,,,,E,,未対応,,
,193,L00080,,0〜2,共有知識(CommonKnowledge),指定されたものを選ぶ,,,,,,未対応,,
,200,L00098,,0〜2,共有知識(CommonKnowledge),家にたどり着くように道を進む,,,,,,未対応,,
,206,L00105,,0〜2,共有知識(CommonKnowledge),他の物へ触れないで鬼退治に行く,,,,,,未対応,,
,228,L10008,,3〜4,共有知識(CommonKnowledge),切られた形に合うフルーツを選ぶ,,,,,,未対応,,
,248,L10034,,3〜4,共有知識(CommonKnowledge),お話の順番に並べる,,,,,,未対応,,
,262,L10064,,3〜4,共有知識(CommonKnowledge),"動物たちの好きな食べ物は
どれかを当てる",,,,,,未対応,,
,265,L10069,,3〜4,共有知識(CommonKnowledge),何のお花が咲くか正しいお花を選ぶ,,,,,,未対応,,
,275,L10088,,3〜4,共有知識(CommonKnowledge),"星からハートまで
動物の仲間だけを通って
迷路を抜ける

不具合
上部枠外に押せる場所がある
押すと不正解演出？が表示",〇,,,,,未対応,,
,276,L10089,,3〜4,共有知識(CommonKnowledge),"星からハートまで
動物の仲間だけを通って
迷路を抜ける

不具合
上部枠外に押せる場所がある
押すと不正解演出？が表示",〇,,,,,未対応,,
,277,L10094,,3〜4,共有知識(CommonKnowledge),"犬のいる部屋だけを通って
迷路を抜ける",,,,,,未対応,,
,291,L20007,,5〜6,共有知識(CommonKnowledge),"野菜を切る
どの野菜を切ったか当てる",,,,,,未対応,,
,296,L20017,,5〜6,共有知識(CommonKnowledge),"大きくなると
どの生き物になるか選ぶ",,,,,,未対応,,
,299,L20022,,5〜6,共有知識(CommonKnowledge),"大きくなると
どの生き物になるか選ぶ",,,,,,未対応,,
,311,L20046,,5〜6,共有知識(CommonKnowledge),"色々なものをペルくんの
箱に入れると変身して出てくる
どんな約束で変わるか予想して
箱の中から出てくるものを選ぶ",,,,,,未対応,,
,338,L20108,,5〜6,共有知識(CommonKnowledge),"左の枠内の人がお仕事で使うものを
右から2つずつ見つける",,,,,,未対応,,
,341,L20117,,5〜6,共有知識(CommonKnowledge),1時から12時まで順番に進む,,,,,,未対応,,
,342,L20118,,5〜6,共有知識(CommonKnowledge),1時から12時まで順番に進む,,,,,,未対応,,
,9,L00026,,0〜2,言語(Language),同じひらがなを探す,,,,A,,未対応,,
,18,L00056,,0〜2,言語(Language),特定の頭文字から始まるものを選ぶ,・始めの音声再生タイミングが遅い,,,A,,未対応,,
,24,L10005,,3〜4,言語(Language),あいうえおをなぞる,"・終了エフェクト後待機時間
　3秒になっている（他は1秒）
・Main遷移時に一瞬BGMが流れる",,終わると止まる,A,,未対応,,
,27,L10040,,3〜4,言語(Language),"かきくけこの書き歌
聞き終わるとカーテン演出に移行","・終了エフェクト後待機時間
　3秒になっている（他は1秒）
・Main遷移時に一瞬BGMが流れる
・歌と動きのタイミングが合ってない",,終わると止まる,A,,未対応,,
,29,L10050,,3〜4,言語(Language),"アイウエオの書き歌
聞き終わるとカーテン演出に移行","・終了エフェクト後待機時間
　3秒になっている（他は1秒）
・Main遷移時に一瞬BGMが流れる
・歌と動きのタイミングが合ってない
・文字周りのモノなどの画像
　表示されたりされなかったりする",,終わると止まる,A,,未対応,,
,30,L10052,,3〜4,言語(Language),"カキクケコの書き歌
聞き終わるとカーテン演出に移行","・終了エフェクト後待機時間
　3秒になっている（他は1秒）
・Main遷移時に一瞬BGMが流れる
・歌と動きのタイミングが合ってない
・文字周りのモノなどの画像
　表示されたりされなかったりする",,終わると止まる,A,,未対応,,
,36,L10083,,3〜4,言語(Language),何が隠れているかを見つける,,,,A,,未対応,,
,37,L10100,,3〜4,言語(Language),"英語の大文字と小文字をなぞる
なぞる文字はAaBb","・最初の文字表示
　Aが表示されるまでの時間が長い
・文字表示と音声のタイミング
　最初のタイミングが合っていない
・終了エフェクト後待機時間
　3秒になっている（他は1秒）",,,A,,未対応,,
,38,L10101,,3〜4,言語(Language),"英語の大文字と小文字をなぞる
なぞる文字はCcDd","・最初の文字表示
　Cが表示されるまでの時間が長い
・文字表示と音声のタイミング
　最初のタイミングが合っていない
・終了エフェクト後待機時間
　3秒になっている（他は1秒）",,,A,,未対応,,
,58,L20094,,5〜6,言語(Language),文字を読んで正しい方に進む,,,,A,,未対応,,
,64,L00023,,0〜2,言語(Language),"ふたつになったひらがなを
下のひらがなをヒントに元に戻す",,,,B,,未対応,,
,67,L00058,,0〜2,言語(Language),特定の頭文字から始まるものを選ぶ,,,,B,,未対応,,
,76,L10041,,3〜4,言語(Language),"さしすせその書き歌
聞き終わるとカーテン演出に移行",,,終わると止まる,B,,未対応,,
,77,L10056,,3〜4,言語(Language),"サシスセソの書き歌
聞き終わるとカーテン演出に移行",,,終わると止まる,B,,未対応,,
,81,L10099,,3〜4,言語(Language),絵に合う言葉はどれか合わせる,,,,B,,未対応,,
,82,L10102,,3〜4,言語(Language),"英語の大文字と小文字をなぞる
なぞる文字はEeFf",,,,B,,未対応,,
,85,L20027,,5〜6,言語(Language),"文字を並び替えて言葉を作る

不具合
「た」の文字が欠けている",〇,,問題なし。た出る,B,,未対応,,
,99,L00057,,0〜2,言語(Language),特定の頭文字から始まるものを選ぶ,,,ことば,C,,未対応,,
,104,L10027,,3〜4,言語(Language),文字を並び替えて言葉を作る,,,ことば,C,,未対応,,
,105,L10047,,3〜4,言語(Language),"たちつてとの書き歌
聞き終わるとカーテン演出に移行",,,ことば。終わると止まる,C,,未対応,,
,106,L10057,,3〜4,言語(Language),"タチツテトの書き歌
聞き終わるとカーテン演出に移行",,,ことば。終わると止まる,C,,未対応,,
,107,L10103,,3〜4,言語(Language),"英語の大文字と小文字をなぞる
なぞる文字はGgHh
不具合
gの二画目でなぞらず星まで
行けるようになっている
hの二画目で左になぞれば
上と同じ症状になる",〇,,ことば,C,,未対応,,
,125,L00028,,0〜2,言語(Language),同じ言葉のところを探す,,,,D,,対応済み,ことば,9
,128,L00059,,0〜2,言語(Language),特定の頭文字から始まるものを選ぶ,,,,D,,対応済み,ことば,10
,129,L00060,,0〜2,言語(Language),特定の頭文字から始まるものを選ぶ,,,,D,,対応済み,ことば,11
,141,L10043,,3〜4,言語(Language),"はひふへほの書き歌
聞き終わるとカーテン演出に移行",,,聞き終わると止まる,D,,対応済み,ことば,9
,142,L10045,,3〜4,言語(Language),"なにぬねのの書き歌
聞き終わるとカーテン演出に移行",,,聞き終わると止まる,D,,対応済み,ことば,10
,143,L10051,,3〜4,言語(Language),"ハヒフヘホの書き歌
聞き終わるとカーテン演出に移行",,,聞き終わると止まる,D,,対応済み,ことば,9
,144,L10054,,3〜4,言語(Language),"ナニヌネノの書き歌
聞き終わるとカーテン演出に移行",,,聞き終わると止まる,D,,対応済み,ことば,10
,153,L10098,,3〜4,言語(Language),絵に合う言葉はどれか合わせる,,,,D,,対応済み,ことば,11
,164,L20089,,5〜6,言語(Language),"買い物袋に書いてあるものを買って
ルルちゃんと家に帰る",,,,D,,対応済み,ことば,11
,165,L20095,,5〜6,言語(Language),文字を読んで正しい方に進む,,,,D,,対応済み,ことば,11
,175,L00024,,0〜2,言語(Language),"ふたつになったひらがなを
下のひらがなをヒントに元に戻す",,,,,,未対応,,
,238,L10020,,3〜4,言語(Language),同じ言葉の絵はどれか当てる,,,,,,未対応,,
,239,L10021,,3〜4,言語(Language),同じ言葉の絵はどれか当てる,,,,,,未対応,,
,240,L10022,,3〜4,言語(Language),正しい言葉を選ぶ,,,,,,未対応,,
,244,L10028,,3〜4,言語(Language),"文字を並び替えて言葉を作る

不具合
「た」の文字が欠けている",〇,,問題なし。た出る,,,未対応,,
,245,L10029,,3〜4,言語(Language),文字を並び替えて言葉を作る,,,,,,未対応,,
,251,L10039,,3〜4,言語(Language),正しい言葉を選ぶ,,,,,,未対応,,
